Name,v_r(km/s),v_r_std(km/s),v_phi(rad/s),v_phi_std(rad/s),v_x(km/s),v_x_std(km/s),v_y(km/s),v_y_std(km/s),v_z(km/s),v_z_std(km/s),j_r(kpc km s^-1),j_r_std(kpc km s^-1),j_phi(kpc s^(-1)),j_phi_std(kpc km s^(-1)),j_x(kpc km s^(-1)),j_x_std(kpc km s^(-1)),j_y(kpc km s^(-1)),j_y_std(kpc km s^(-1)),j_z(kpc km s^(-1)),j_z_std(kpc km s^(-1)),energy_mean(km^2 s^(-2)),energy_std(km^2 s^(-2)),rperi_mean(kpc),rperi_std(kpc),rapo_mean(kpc),rapo_std(kpc),zmax_mean(kpc),zmax_std(kpc),ecc_mean,ecc_std
HE1159-0525,-10.93469983,1.559343523,73.77492951,1.735388359,9.914679997,1.601245101,10.91963514,0.657639244,-109.9416693,1.510382675,295.2772337,10.82134631,604.7350053,14.22182213,-267.7329354,4.218275683,-124.5299826,4.564095886,515.9246027,11.42555749,-162204.1064,246.1947776,2.888784237,0.105564694,10.26932121,0.012980484,8.031882124,0.048784156,0.5610102,0.012598267
HE1245-0215,159.4644077,0.942350606,-228.6532204,1.893050176,-158.017571,1.360418232,-100.6469979,0.143029823,-91.86360376,1.192723489,311.9826143,3.444790247,-1730.900907,14.32724699,-309.1519645,2.601045964,-41.93086321,0.480894305,315.262068,5.336016845,-140061.969,304.4344068,6.185110173,0.033567735,15.48326799,0.103077704,7.47264545,0.075969011,0.429107728,0.001446344
HE1305+0007,173.3649822,0.646437429,9.596750659,1.334501246,-169.9248545,1.114489622,-29.66730451,0.129363607,215.455061,0.937388899,1017.71227,4.442095252,67.29349079,9.357781413,-997.5175338,2.921566422,-201.7350339,0.886677065,674.48833,14.7101964,-143041.1884,156.3032179,0.662876559,0.213954808,16.89210344,0.128951209,16.49772072,0.085168937,0.92467446,0.023348444
HE1410-0004,-174.3965207,0.624307653,145.5623963,1.580051471,173.8648141,1.114014893,-151.2004129,0.070387733,76.29389539,0.915335872,246.2578979,1.637452304,957.486224,10.04030523,-245.5070976,1.804161178,-19.21489255,0.146531314,359.9524538,4.251308255,-159220.496,255.2320901,3.833390839,0.0364542,10.73427495,0.048912496,6.421840539,0.048870327,0.473722035,0.002516313
HE1429-0551,16.95911378,0.762171692,152.229147,1.665959893,-16.78178778,1.221733513,16.79765943,0.109942638,-147.1912091,0.752322514,22.50925564,1.011089731,845.7788006,9.217324145,-22.27389685,1.407164702,-3.246552485,0.145848877,484.9706304,3.797175333,-168674.7321,290.8460205,4.929979219,0.066532096,7.29243475,0.069026407,5.285904665,0.02182484,0.193295435,0.008785028
HE1430-1123,-136.2757141,0.778317766,-110.562084,1.457671448,136.0368652,1.245466361,-77.65870751,0.053684839,-19.96491165,0.818273654,355.6622956,3.733995075,-779.8966251,10.37785266,-355.0389303,2.727976078,-21.04807018,0.232402562,31.12000056,0.173620217,-173655.5807,205.5036683,2.091515393,0.033144247,8.9425805,0.024625251,1.266429334,0.006263937,0.620917337,0.004410765
HE1434-1442,-4.869025647,1.002096897,117.5861382,1.865526728,4.801444511,1.396046361,4.747828471,0.166411466,24.97370989,0.721560177,125.9526612,4.306690277,687.5793494,10.62874347,-124.2044626,2.894156058,-20.91212792,0.719955347,114.3022042,0.760126835,-186563.2484,206.8464292,2.285645397,0.060445688,6.331986423,0.021432549,2.313885818,0.010154142,0.469596574,0.011518653
HE1439-1420,8.753340875,0.741223133,23.42509222,1.31745168,-8.720841838,1.213037083,-8.671499573,0.063868679,36.47171388,0.613429979,455.6279563,4.574228662,155.6827547,8.713539606,-453.9363199,3.013436124,-39.22540535,0.41772847,57.17002976,0.678272495,-190414.2026,33.22040966,0.592744921,0.033887075,6.92866034,0.010501329,2.930193436,0.040324179,0.842415547,0.008405896
HE1443+0113,-78.38999391,0.755548354,-196.4346467,2.564301826,78.26352522,1.227284199,78.10627561,0.048108705,-36.06865534,0.731183573,72.0475133,0.715161722,-1018.908208,13.3669232,-71.9312771,1.194032418,-4.090861109,0.045269737,316.0689716,2.877134905,-166880.6928,536.5966051,4.554347596,0.058404321,8.225451126,0.08246141,4.712546234,0.048667721,0.287272237,0.001593131
HE1447+0102,24.63623595,0.604634693,-92.66026561,0.891278203,-24.63328203,1.099536001,24.63279335,0.009365155,-51.7869057,0.762311542,224.9037723,2.816157087,-634.944245,6.111259929,-224.8768061,2.372965152,-3.482656913,0.043650094,96.30523739,1.407590084,-183306.708,106.6819545,1.882351389,0.02524738,7.332365627,0.077024534,2.580599873,0.017719467,0.591417728,0.006671619
HE1523-1155,102.5670726,0.874626129,-9.026810568,1.525285569,-102.0490128,1.31591294,-39.74939552,0.08818549,49.2449883,0.594904698,402.1759541,3.918099425,-43.18720282,7.295102863,-400.1445885,2.78518388,-40.3708469,0.394640792,132.8318246,0.170243087,-193443.7286,58.83332692,0.341505362,0.08508605,6.616981335,0.067494763,3.139909682,0.160421365,0.901912322,0.024329199
HE1528-0409,-44.93735874,0.769190575,-33.8257133,2.17685416,44.93719647,1.240310461,30.02778328,0.00207096,-276.9234531,0.658184899,413.4220746,1.217266589,-128.3601066,8.272437006,-413.4205818,1.560293432,-1.111021031,0.003471504,921.3441367,7.711913407,-158086.9502,175.9946689,2.226300054,0.0362521,11.63632914,0.039051281,11.45422808,0.032938684,0.678819095,0.004039822
HE2122-4707,-24.85702107,1.202347441,171.7858091,2.429819522,24.55159647,1.531659197,-20.94042669,0.189381353,-11.31048167,1.875080513,6.287786803,0.969550042,643.0225176,8.311787251,-6.210527151,1.375406504,-0.982638653,0.151636766,475.430047,4.697339746,-177290.1009,435.0617212,4.382318215,0.088625862,5.90685514,0.013141058,4.577663636,0.014257821,0.148255707,0.008958852
HE2138-3336,-108.6492177,0.673843722,-138.0919821,0.276129008,108.6367079,1.160765746,-14.956234,0.010260975,-2.361169297,0.790805579,248.265681,1.213520016,-1048.459074,2.102612677,-248.2370958,1.557716652,3.767315271,0.018518028,11.80716782,0.148361749,-171226.6419,94.38261239,3.004304972,0.007890294,8.92959219,0.01665819,0.696773224,0.006193384,0.496508746,0.001158589
